review_id,product_id,user_id,rating,review_text,review_date,helpful_votes,category
REV000001,PRD0328,USR02373,5,Works perfectly. Exactly as described.,2025-10-10,141,Home & Kitchen
REV000002,PRD0301,USR02758,5,Best purchase I made this year.,2024-08-23,40,Fashion
REV000003,PRD0063,USR03951,5,Works perfectly. Exactly as described.,2025-07-04,112,Sports
REV000004,PRD0336,USR01450,4,Amazing value for money. Love it!,2024-11-24,29,Grocery
REV000005,PRD0318,USR02707,1,Very disappointed. Not as shown in pictures.,2025-10-11,168,Electronics
REV000006,PRD0413,USR03579,4,Very fast delivery and great quality.,2026-01-07,156,Fashion
REV000007,PRD0450,USR01012,4,Top quality. Will buy again.,2024-11-05,200,Books
REV000008,PRD0162,USR03191,3,Okay product. Average quality.,2025-05-10,185,Grocery
REV000009,PRD0439,USR01093,3,Decent. Could be better for the price.,2025-02-10,174,Toys
REV000010,PRD0314,USR03599,5,Very fast delivery and great quality.,2024-05-11,13,Sports
REV000011,PRD0416,USR04416,4,Amazing value for money. Love it!,2024-08-10,198,Electronics
REV000012,PRD0325,USR00097,3,Okay product. Average quality.,2024-10-14,141,Beauty
REV000013,PRD0351,USR00855,5,Excellent product! Highly recommended.,2024-09-25,11,Grocery
REV000014,PRD0373,USR04854,4,Works perfectly. Exactly as described.,2024-11-21,91,Grocery
REV000015,PRD0110,USR01335,3,Decent. Could be better for the price.,2025-03-19,138,Fashion
REV000016,PRD0099,USR03502,5,Excellent product! Highly recommended.,2025-11-20,11,Home & Kitchen
REV000017,PRD0441,USR04299,3,Okay product. Average quality.,2026-01-27,91,Books
REV000018,PRD0102,USR01945,4,Top quality. Will buy again.,2025-10-01,23,Beauty
REV000019,PRD0500,USR04872,4,Very fast delivery and great quality.,2024-04-05,169,Beauty
REV000020,PRD0218,USR01918,4,Excellent product! Highly recommended.,2026-03-11,84,Electronics
REV000021,PRD0200,USR03846,5,Top quality. Will buy again.,2025-05-07,95,Grocery
REV000022,PRD0415,USR01738,5,Amazing value for money. Love it!,2025-03-13,80,Books
REV000023,PRD0460,USR04908,1,Very disappointed. Not as shown in pictures.,2024-12-19,132,Sports
REV000024,PRD0048,USR00018,4,Amazing value for money. Love it!,2025-03-25,73,Grocery
REV000025,PRD0055,USR01805,2,Fake product. Totally different from description.,2024-11-26,135,Toys
REV000026,PRD0168,USR03473,4,Very fast delivery and great quality.,2025-02-07,26,Grocery
REV000027,PRD0343,USR01504,5,Top quality. Will buy again.,2025-07-02,21,Fashion
REV000028,PRD0238,USR04167,4,Excellent product! Highly recommended.,2026-01-12,94,Toys
REV000029,PRD0233,USR01378,5,Very fast delivery and great quality.,2025-08-24,78,Fashion
REV000030,PRD0359,USR00306,4,Top quality. Will buy again.,2025-03-07,21,Beauty
