user_id,recency,frequency,monetary,avg_order_value,category_diversity,is_prime,avg_delivery_days,age,gender,city,loyalty_tier,age_group
USR01795,86,10,461264.11,46126.411,5,1,5.5,49,Male,Mumbai,Silver,45-54
USR01623,430,3,276951.33999999997,92317.11333333333,3,0,3.6666666666666665,43,Male,Delhi,Platinum,35-44
USR01549,56,9,1349057.65,149895.29444444444,4,1,6.0,37,Other,Hyderabad,Bronze,35-44
USR04539,207,7,562526.63,80360.94714285714,5,1,6.285714285714286,30,Female,Kolkata,Silver,25-34
USR03138,13,11,740073.35,67279.39545454545,6,0,4.7272727272727275,59,Female,Pune,Silver,55+
USR00421,17,12,1460293.9300000002,121691.16083333334,6,1,5.583333333333333,61,Other,Kolkata,Platinum,55+
USR03136,187,7,644707.3700000001,92101.05285714287,3,0,6.857142857142857,25,Male,Hyderabad,Platinum,25-34
USR04966,12,5,467822.56,93564.512,4,1,6.2,23,Female,Lucknow,Silver,18-24
USR01475,429,6,392112.75999999995,65352.126666666656,4,0,6.166666666666667,42,Female,Chennai,Silver,35-44
USR01758,124,6,513557.00999999995,85592.83499999999,4,0,6.0,55,Male,Delhi,Silver,55+
USR04079,122,3,355250.87,118416.95666666667,3,0,8.0,62,Female,Chennai,Silver,55+
USR03047,42,8,481978.1,60247.2625,6,1,6.625,65,Male,Chennai,Gold,55+
USR04611,293,9,960571.98,106730.22,6,1,5.444444444444445,31,Male,Lucknow,Platinum,25-34
USR01199,63,4,245472.69999999998,61368.174999999996,3,0,4.75,64,Other,Lucknow,Gold,55+
USR04032,156,6,536362.25,89393.70833333333,5,0,3.8333333333333335,22,Female,Mumbai,Bronze,18-24
USR03290,71,11,1086645.2400000002,98785.93090909092,6,1,6.545454545454546,32,Female,Delhi,Bronze,25-34
USR04407,27,5,615069.3400000001,123013.86800000002,4,0,6.2,45,Other,Chennai,Silver,45-54
USR02161,69,6,773290.17,128881.695,5,1,4.833333333333333,23,Other,Pune,Silver,18-24
USR04239,67,9,1036442.94,115160.32666666666,6,1,5.0,47,Male,Delhi,Gold,45-54
USR03074,38,6,282325.41000000003,47054.23500000001,4,1,5.333333333333333,26,Male,Chennai,Bronze,25-34
USR00095,0,10,759154.8300000002,75915.48300000002,5,1,5.1,46,Female,Chennai,Platinum,45-54
USR04811,581,4,642556.31,160639.0775,4,0,6.0,49,Female,Kolkata,Silver,45-54
USR04035,461,9,713243.06,79249.2288888889,4,0,5.777777777777778,37,Male,Delhi,Silver,35-44
