review_id,product_id,rating,review_text,sentiment_label,helpful_votes,review_length,category
REV000001,PRD0328,5,Works perfectly. Exactly as described.,Positive,141,38,Home & Kitchen
REV000002,PRD0301,5,Best purchase I made this year.,Positive,40,31,Fashion
REV000003,PRD0063,5,Works perfectly. Exactly as described.,Positive,112,38,Sports
REV000004,PRD0336,4,Amazing value for money. Love it!,Positive,29,33,Grocery
REV000005,PRD0318,1,Very disappointed. Not as shown in pictures.,Negative,168,44,Electronics
REV000006,PRD0413,4,Very fast delivery and great quality.,Positive,156,37,Fashion
REV000007,PRD0450,4,Top quality. Will buy again.,Positive,200,28,Books
REV000008,PRD0162,3,Okay product. Average quality.,Neutral,185,30,Grocery
REV000009,PRD0439,3,Decent. Could be better for the price.,Neutral,174,38,Toys
REV000010,PRD0314,5,Very fast delivery and great quality.,Positive,13,37,Sports
REV000011,PRD0416,4,Amazing value for money. Love it!,Positive,198,33,Electronics
REV000012,PRD0325,3,Okay product. Average quality.,Neutral,141,30,Beauty
REV000013,PRD0351,5,Excellent product! Highly recommended.,Positive,11,38,Grocery
REV000014,PRD0373,4,Works perfectly. Exactly as described.,Positive,91,38,Grocery
REV000015,PRD0110,3,Decent. Could be better for the price.,Neutral,138,38,Fashion
REV000016,PRD0099,5,Excellent product! Highly recommended.,Positive,11,38,Home & Kitchen
REV000017,PRD0441,3,Okay product. Average quality.,Neutral,91,30,Books
REV000018,PRD0102,4,Top quality. Will buy again.,Positive,23,28,Beauty
REV000019,PRD0500,4,Very fast delivery and great quality.,Positive,169,37,Beauty
REV000020,PRD0218,4,Excellent product! Highly recommended.,Positive,84,38,Electronics
REV000021,PRD0200,5,Top quality. Will buy again.,Positive,95,28,Grocery
REV000022,PRD0415,5,Amazing value for money. Love it!,Positive,80,33,Books
REV000023,PRD0460,1,Very disappointed. Not as shown in pictures.,Negative,132,44,Sports
REV000024,PRD0048,4,Amazing value for money. Love it!,Positive,73,33,Grocery
REV000025,PRD0055,2,Fake product. Totally different from description.,Negative,135,49,Toys
REV000026,PRD0168,4,Very fast delivery and great quality.,Positive,26,37,Grocery
REV000027,PRD0343,5,Top quality. Will buy again.,Positive,21,28,Fashion
REV000028,PRD0238,4,Excellent product! Highly recommended.,Positive,94,38,Toys
REV000029,PRD0233,5,Very fast delivery and great quality.,Positive,78,37,Fashion
REV000030,PRD0359,4,Top quality. Will buy again.,Positive,21,28,Beauty
REV000031,PRD0029,5,Top quality. Will buy again.,Positive,58,28,Fashion
REV000032,PRD0469,5,Very fast delivery and great quality.,Positive,100,37,Grocery
REV000033,PRD0269,4,Excellent product! Highly recommended.,Positive,108,38,Electronics
REV000034,PRD0059,4,Amazing value for money. Love it!,Positive,197,33,Grocery
REV000035,PRD0211,5,Amazing value for money. Love it!,Positive,167,33,Books
REV000036,PRD0377,5,Amazing value for money. Love it!,Positive,68,33,Books
REV000037,PRD0241,5,Works perfectly. Exactly as described.,Positive,179,38,Books
REV000038,PRD0265,4,Amazing value for money. Love it!,Positive,200,33,Books
